"","Plate","Week","Line","Mean.Firing.Rate.Hz","ISI.Coefficient.of.Variation.Avg","Network.ISI.Coefficient.of.Variation","Weighted.Mean.Firing.Rate.Hz","Burst.Duration.Avg.sec","Burst.Duration.Std.sec","Number.of.Spikes.per.Burst.Avg","Number.of.Spikes.per.Burst.Std","Mean.ISI.within.Burst.Avg.sec","Mean.ISI.within.Burst.Std.sec","Median.ISI.within.Burst.Avg.sec","Inter.Burst.Interval.Avg.sec","Inter.Burst.Interval.Std.sec","Burst.Frequency.Avg.Hz","Burst.Frequency.Std.Hz","Normalized.Duration.IQR.Avg","IBI.Coefficient.of.Variation.Avg","Burst.Percentage.Avg","Network.Burst.Frequency","Network.Burst.Duration.Avg.sec","Network.Burst.Duration.Std.sec","Number.of.Spikes.per.Network.Burst.Avg","Number.of.Spikes.per.Network.Burst.Std","Mean.ISI.within.Network.Burst.Avg.sec","Mean.ISI.within.Network.Burst.Std.sec","Median.ISI.within.Network.Burst.Avg.sec","ISI.CoV.within.Network.Burst.Avg","Network.Burst.Percentage","Network.IBI.Coefficient.of.Variation","Network.Normalized.Duration.IQR","Area.Under.Normalized.Cross.Correlation","Full.Width.at.Half.Height.of.Normalized.Cross.Correlation","Synchrony.Index","Kreuz.SPIKE.Distance","Burst.Peak.Max.Spikes.per.sec","Time.to.Burst.Peak.ms"
"1359",38,6,"KO",8.269583,4.125072,5.036754,9.123391,0.303149,0.087637,41.576349,34.261177,0.01542,0.01638,0.011729,5.418321,2.483962,0.194691,0.044682,0.43239,0.401091,74.080327,0.21,0.901163,0.05116,2359.952381,220.212832,0.000384,2.8e-05,0.000142,5.539594,93.639467,0.343866,0.03324,0.408426,32,0.605947,0.702773,10793.650794,332.5
"1360",38,7,"KO",10.678281,3.271823,4.204149,11.985965,0.173931,0.045097,26.694742,20.436307,0.011807,0.008964,0.009877,3.61876,4.923733,0.384403,0.099035,0.323302,0.240291,71.397513,0.423333,0.747996,0.035788,1516.866142,127.619434,0.000495,2.9e-05,0.000139,4.747505,93.961165,0.145979,0.053211,0.425657,34,0.609817,0.707038,9795.275591,310.5
"1361",38,7,"KO",6.271615,2.775576,5.215201,7.711282,0.181426,0.260937,20.113159,16.800032,0.026663,0.091367,0.012717,5.525974,8.209777,0.319348,0.133231,0.390895,0.36667,56.737244,0.396667,0.683404,0.066991,958.87395,85.581813,0.000717,7.8e-05,0.00016,6.388372,94.76062,0.223328,0.114702,0.373214,29,0.454304,0.717475,6747.89916,326.5
"1362",38,8,"KO",5.634271,2.678095,7.428781,6.435476,0.437946,1.189168,16.60056,16.107834,0.105802,0.36557,0.129926,12.649601,26.837653,0.260189,0.171674,0.417018,0.40468,56.579251,0.4,0.638777,0.075212,871.566667,77.589605,0.000737,9.2e-05,0.000189,6.546403,96.681395,0.1834,0.138908,0.338078,28,0.451551,0.7324,5333.333333,302.5
"1363",38,8,"KO",3.702865,2.220284,7.17896,4.641438,0.297749,0.977182,13.413427,13.672195,0.078427,0.329616,0.067828,8.314655,10.698168,0.253411,0.16205,0.456237,0.490418,47.091268,0.406667,0.570975,0.095225,563.081967,48.031255,0.00102,0.000178,0.000241,6.083447,96.625642,0.225175,0.223591,0.294247,26,0.390822,0.653263,3598.360656,318.5
"1364",38,9,"KO",4.874948,2.325967,8.035531,5.668182,0.106722,0.040891,14.522701,13.682641,0.013407,0.006688,0.01137,12.099291,35.354674,0.331288,0.181067,0.462107,0.424594,49.337599,0.476667,0.545902,0.100443,638.426573,53.703213,0.000858,0.00015,0.000197,6.867423,97.538435,0.192363,0.322585,0.34106,24,0.410938,0.729996,4384.615385,314.5
"1365",38,5,"KO",1.864583,2.250269,3.435038,3.49598,0.2208,0.075349,15.983461,16.129732,0.026927,0.015278,0.023562,13.625852,19.94614,0.160952,0.085118,0.367303,0.443309,36.454761,0.22,0.807445,0.061525,464.590909,22.197697,0.001744,0.000139,0.000592,3.399995,85.650838,0.231217,0.11136,0.110096,56,0.229118,0.421465,2287.878788,376.5
"1366",38,2,"CTRL",0.018177,1.321766,1.113637,0.346667,1.223787,1.285649,5.111111,1.387777,0.261541,0.202279,0.173804,87.82586,29.109691,0.007778,0.003849,NA,0.339703,4.296422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000626,2,0.002572,0.017254,NA,NA
"1367",38,2,"CTRL",0.065729,2.065427,1.637142,0.829333,0.622476,0.908257,8.466513,7.548193,0.093133,0.105759,0.070085,36.254118,34.138784,0.066,0.103907,1.594933,0.623819,20.66633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000636,42,0.005696,0.019911,NA,NA
"1368",38,3,"CTRL",0.038906,1.677383,1.429733,0.457333,1.868537,2.073495,6.969231,2.023413,0.207952,0.172887,0.171219,33.499619,36.65438,0.073333,0.080139,4.190244,0.895948,7.415584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000567,32,0.003787,0.028264,NA,NA
